sent,tags,parse
"<p> It is obvious that this was a rather shameful encounter for all concerned -- my friend and I , as his silent accomplice , trading on our racial pain , tampering with a stranger for no reason , and the stranger then buying his way out of the situation for twenty dollars , a sum that was generous by one count and cheap by another .","<p>/RB It/PRP is/VBZ obvious/JJ that/IN this/DT was/VBD a/DT rather/RB shameful/JJ encounter/NN for/IN all/DT concerned/JJ --/: my/PRP$ friend/NN and/CC I/PRP ,/, as/IN his/PRP$ silent/JJ accomplice/NN ,/, trading/VBG on/IN our/PRP$ racial/JJ pain/NN ,/, tampering/VBG with/IN a/DT stranger/NN for/IN no/DT reason/NN ,/, and/CC the/DT stranger/NN then/RB buying/VBG his/PRP$ way/NN out/RP of/IN the/DT situation/NN for/IN twenty/CD dollars/NNS ,/, a/DT sum/NN that/WDT was/VBD generous/JJ by/IN one/CD count/NN and/CC cheap/JJ by/IN another/DT ./.","advmod(obvious-4, <p>-1) nsubj(obvious-4, It-2) cop(obvious-4, is-3) root(ROOT-0, obvious-4) mark(encounter-11, that-5) nsubj(encounter-11, this-6) cop(encounter-11, was-7) det(encounter-11, a-8) advmod(shameful-10, rather-9) amod(encounter-11, shameful-10) ccomp(obvious-4, encounter-11) case(all-13, for-12) nmod:for(encounter-11, all-13) amod(encounter-11, concerned-14) nmod:poss(friend-17, my-16) dep(concerned-14, friend-17) cc(friend-17, and-18) dep(concerned-14, I-19) conj:and(friend-17, I-19) case(accomplice-24, as-21) nmod:poss(accomplice-24, his-22) amod(accomplice-24, silent-23) nmod:as(encounter-11, accomplice-24) acl(encounter-11, trading-26) case(pain-30, on-27) nmod:poss(pain-30, our-28) amod(pain-30, racial-29) nmod:on(trading-26, pain-30) acl(encounter-11, tampering-32) case(stranger-35, with-33) det(stranger-35, a-34) nmod:with(tampering-32, stranger-35) case(reason-38, for-36) neg(reason-38, no-37) nmod:for(stranger-35, reason-38) cc(encounter-11, and-40) det(stranger-42, the-41) ccomp(obvious-4, stranger-42) conj:and(encounter-11, stranger-42) advmod(buying-44, then-43) acl(stranger-42, buying-44) nmod:poss(way-46, his-45) dobj(buying-44, way-46) compound:prt(buying-44, out-47) case(situation-50, of-48) det(situation-50, the-49) nmod:of(buying-44, situation-50) case(dollars-53, for-51) nummod(dollars-53, twenty-52) nmod:for(situation-50, dollars-53) det(sum-56, a-55) appos(encounter-11, sum-56) nsubj(generous-59, sum-56) nsubj(cheap-64, sum-56) ref(sum-56, that-57) cop(generous-59, was-58) acl:relcl(sum-56, generous-59) case(count-62, by-60) nummod(count-62, one-61) nmod:by(generous-59, count-62) cc(generous-59, and-63) acl:relcl(sum-56, cheap-64) conj:and(generous-59, cheap-64) case(another-66, by-65) nmod:by(cheap-64, another-66)  "
"The case involved a grant of public lands , the buying of legislators , and an attempt finally to strike at the corruption by rescinding the original grant of land to the speculators .","The/DT case/NN involved/VBD a/DT grant/NN of/IN public/JJ lands/NNS ,/, the/DT buying/NN of/IN legislators/NNS ,/, and/CC an/DT attempt/NN finally/RB to/TO strike/VB at/IN the/DT corruption/NN by/IN rescinding/VBG the/DT original/JJ grant/NN of/IN land/NN to/TO the/DT speculators/NNS ./.","det(case-2, The-1) nsubj(involved-3, case-2) root(ROOT-0, involved-3) det(grant-5, a-4) dobj(involved-3, grant-5) case(lands-8, of-6) amod(lands-8, public-7) nmod:of(grant-5, lands-8) det(buying-11, the-10) dobj(involved-3, buying-11) conj:and(grant-5, buying-11) case(legislators-13, of-12) nmod:of(buying-11, legislators-13) cc(grant-5, and-15) det(attempt-17, an-16) dobj(involved-3, attempt-17) conj:and(grant-5, attempt-17) advmod(involved-3, finally-18) mark(strike-20, to-19) advcl(involved-3, strike-20) case(corruption-23, at-21) det(corruption-23, the-22) nmod:at(strike-20, corruption-23) mark(rescinding-25, by-24) advcl(strike-20, rescinding-25) det(grant-28, the-26) amod(grant-28, original-27) dobj(rescinding-25, grant-28) case(land-30, of-29) nmod:of(grant-28, land-30) case(speculators-33, to-31) det(speculators-33, the-32) nmod:to(rescinding-25, speculators-33)  "
"But if any is worth buying , this is it .","But/CC if/IN any/DT is/VBZ worth/JJ buying/VBG ,/, this/DT is/VBZ it/PRP ./.","cc(it-10, But-1) mark(worth-5, if-2) nsubj(worth-5, any-3) cop(worth-5, is-4) advcl(it-10, worth-5) xcomp(worth-5, buying-6) nsubj(it-10, this-8) cop(it-10, is-9) root(ROOT-0, it-10)  "
You then plow all the profits back into the business ( probably by making principal payments on the bank loan or by buying some of the fixed assets ) .,You/PRP then/RB plow/VB all/PDT the/DT profits/NNS back/RB into/IN the/DT business/NN -LRB-/-LRB- probably/RB by/IN making/VBG principal/JJ payments/NNS on/IN the/DT bank/NN loan/NN or/CC by/IN buying/VBG some/DT of/IN the/DT fixed/VBN assets/NNS -RRB-/-RRB- ./.,"nsubj(plow-3, You-1) advmod(plow-3, then-2) root(ROOT-0, plow-3) det:predet(profits-6, all-4) det(profits-6, the-5) dobj(plow-3, profits-6) advmod(plow-3, back-7) case(business-10, into-8) det(business-10, the-9) nmod:into(back-7, business-10) dep(back-7, probably-12) mark(making-14, by-13) advcl(probably-12, making-14) amod(payments-16, principal-15) dobj(making-14, payments-16) case(loan-20, on-17) det(loan-20, the-18) compound(loan-20, bank-19) nmod:on(making-14, loan-20) cc(loan-20, or-21) mark(buying-23, by-22) nmod:on(making-14, buying-23) conj:or(loan-20, buying-23) dobj(buying-23, some-24) case(assets-28, of-25) det(assets-28, the-26) amod(assets-28, fixed-27) nmod:of(some-24, assets-28)  "
"<p> Saudi Arabia , on the other hand , is a weak , wealthy country that cultivates a timid political style to avoid offending fellow Arab states and to try buying off potential threats .","<p>/NNP Saudi/NNP Arabia/NNP ,/, on/IN the/DT other/JJ hand/NN ,/, is/VBZ a/DT weak/JJ ,/, wealthy/JJ country/NN that/WDT cultivates/VBZ a/DT timid/JJ political/JJ style/NN to/TO avoid/VB offending/VBG fellow/JJ Arab/JJ states/NNS and/CC to/TO try/VB buying/VBG off/RP potential/JJ threats/NNS ./.","compound(Arabia-3, <p>-1) compound(Arabia-3, Saudi-2) nsubj(country-15, Arabia-3) case(hand-8, on-5) det(hand-8, the-6) amod(hand-8, other-7) nmod:on(Arabia-3, hand-8) cop(country-15, is-10) det(country-15, a-11) amod(country-15, weak-12) amod(country-15, wealthy-14) root(ROOT-0, country-15) nsubj(cultivates-17, country-15) ref(country-15, that-16) acl:relcl(country-15, cultivates-17) det(style-21, a-18) amod(style-21, timid-19) amod(style-21, political-20) dobj(cultivates-17, style-21) mark(avoid-23, to-22) dep(cultivates-17, avoid-23) xcomp(avoid-23, offending-24) amod(states-27, fellow-25) amod(states-27, Arab-26) dobj(offending-24, states-27) cc(avoid-23, and-28) mark(try-30, to-29) dep(cultivates-17, try-30) conj:and(avoid-23, try-30) xcomp(try-30, buying-31) compound:prt(buying-31, off-32) amod(threats-34, potential-33) dobj(buying-31, threats-34)  "
They utilize the buying and selling of hard currency in the informal market as a means of obtaining financing for their small or medium-sized businesses primarily in the capital .,They/PRP utilize/VB the/DT buying/VBG and/CC selling/VBG of/IN hard/JJ currency/NN in/IN the/DT informal/JJ market/NN as/IN a/DT means/NN of/IN obtaining/VBG financing/NN for/IN their/PRP$ small/JJ or/CC medium-sized/JJ businesses/NNS primarily/RB in/IN the/DT capital/NN ./.,"nsubj(utilize-2, They-1) root(ROOT-0, utilize-2) dobj(utilize-2, the-3) amod(the-3, buying-4) cc(the-3, and-5) dobj(utilize-2, selling-6) conj:and(the-3, selling-6) case(currency-9, of-7) amod(currency-9, hard-8) nmod:of(the-3, currency-9) case(market-13, in-10) det(market-13, the-11) amod(market-13, informal-12) nmod:in(the-3, market-13) case(means-16, as-14) det(means-16, a-15) nmod:as(market-13, means-16) mark(obtaining-18, of-17) acl(means-16, obtaining-18) dobj(obtaining-18, financing-19) case(businesses-25, for-20) nmod:poss(businesses-25, their-21) amod(businesses-25, small-22) cc(small-22, or-23) conj:or(small-22, medium-sized-24) amod(businesses-25, medium-sized-24) nmod:for(obtaining-18, businesses-25) advmod(businesses-25, primarily-26) case(capital-29, in-27) det(capital-29, the-28) nmod:in(obtaining-18, capital-29)  "
"According to a seasoned economic analyst , William H. Overholt , a regional strategist for Bankers Trust Securities Research in Hong Kong : "" There is a natural logic to many of Hong Kong 's extraordinarily successful companies diversifying by taking over Western counterparts : Dickson Concepts buying S. T. Dupont and a host of other luxury brand names .","According/VBG to/TO a/DT seasoned/JJ economic/JJ analyst/NN ,/, William/NNP H./NNP Overholt/NNP ,/, a/DT regional/JJ strategist/NN for/IN Bankers/NNPS Trust/NNP Securities/NNPS Research/NNP in/IN Hong/NNP Kong/NNP :/: ''/'' There/RB is/VBZ a/DT natural/JJ logic/NN to/TO many/JJ of/IN Hong/NNP Kong/NNP 's/POS extraordinarily/RB successful/JJ companies/NNS diversifying/VBG by/IN taking/VBG over/IN Western/JJ counterparts/NNS :/: Dickson/NNP Concepts/NNP buying/VBG S./NNP T./NNP Dupont/NNP and/CC a/DT host/NN of/IN other/JJ luxury/NN brand/NN names/NNS ./.","case(analyst-6, According-1) mwe(According-1, to-2) det(analyst-6, a-3) amod(analyst-6, seasoned-4) amod(analyst-6, economic-5) nmod:according_to(logic-29, analyst-6) compound(Overholt-10, William-8) compound(Overholt-10, H.-9) appos(analyst-6, Overholt-10) det(strategist-14, a-12) amod(strategist-14, regional-13) nsubj(logic-29, strategist-14) case(Research-19, for-15) compound(Research-19, Bankers-16) compound(Research-19, Trust-17) compound(Research-19, Securities-18) nmod:for(strategist-14, Research-19) case(Kong-22, in-20) compound(Kong-22, Hong-21) nmod:in(strategist-14, Kong-22) advmod(logic-29, There-25) cop(logic-29, is-26) det(logic-29, a-27) amod(logic-29, natural-28) root(ROOT-0, logic-29) case(many-31, to-30) nmod:to(logic-29, many-31) case(companies-38, of-32) compound(Kong-34, Hong-33) nmod:poss(companies-38, Kong-34) case(Kong-34, 's-35) advmod(successful-37, extraordinarily-36) amod(companies-38, successful-37) nmod:of(many-31, companies-38) acl(many-31, diversifying-39) mark(taking-41, by-40) advcl(diversifying-39, taking-41) case(counterparts-44, over-42) amod(counterparts-44, Western-43) nmod:over(taking-41, counterparts-44) compound(Concepts-47, Dickson-46) nsubj(buying-48, Concepts-47) parataxis(logic-29, buying-48) compound(Dupont-51, S.-49) compound(Dupont-51, T.-50) dobj(buying-48, Dupont-51) cc(Dupont-51, and-52) det(host-54, a-53) dobj(buying-48, host-54) conj:and(Dupont-51, host-54) case(names-59, of-55) amod(names-59, other-56) compound(names-59, luxury-57) compound(names-59, brand-58) nmod:of(host-54, names-59)  "
Regal Hotels buying Aircoa .,Regal/NNP Hotels/NNPS buying/VBG Aircoa/NNP ./.,"compound(Hotels-2, Regal-1) root(ROOT-0, Hotels-2) acl(Hotels-2, buying-3) dobj(buying-3, Aircoa-4)  "
New World Hotels buying Ramada .,New/NNP World/NNP Hotels/NNPS buying/VBG Ramada/NNP ./.,"compound(Hotels-3, New-1) compound(Hotels-3, World-2) root(ROOT-0, Hotels-3) acl(Hotels-3, buying-4) dobj(buying-4, Ramada-5)  "
Semitech buying Singer .,Semitech/VB buying/VBG Singer/NNP ./.,"root(ROOT-0, Semitech-1) xcomp(Semitech-1, buying-2) dobj(buying-2, Singer-3)  "
